Price,Adj Close,Close,High,Low,Open,Volume
Ticker,IVV,IVV,IVV,IVV,IVV,IVV
Date,,,,,,
2000-05-19,88.33500671386719,140.6875,142.65625,140.25,142.65625,775500
2000-05-22,87.78556823730469,139.8125,140.59375,136.8125,140.59375,1850600
2000-05-23,86.45133209228516,137.6875,140.21875,137.6875,140.21875,373900
2000-05-24,87.7463607788086,139.75,140.0625,136.65625,137.75,400300
2000-05-25,86.94189453125,138.46875,140.9375,137.875,140.03125,69600
2000-05-26,86.54943084716797,137.84375,138.75,137.0,138.484375,237000
2000-05-30,89.39452362060547,142.375,142.4375,139.28125,139.28125,118100
2000-05-31,89.64961242675781,142.78125,143.625,141.875,141.875,216900
2000-06-01,91.08194732666016,145.0625,145.0625,143.625,143.90625,128700
2000-06-02,92.8870849609375,147.9375,148.78125,147.46875,148.3125,108400
2000-06-05,92.27884674072266,146.96875,147.65625,146.6875,147.0,192100
2000-06-06,91.8079605102539,146.21875,147.1875,145.6875,146.4375,209300
2000-06-07,92.41622924804688,147.1875,147.5,145.65625,146.21875,85400
2000-06-08,92.08267211914062,146.65625,147.8125,145.9375,147.8125,248400
2000-06-09,91.74909210205078,146.125,147.515625,145.875,147.515625,20200
2000-06-12,90.95439910888672,144.859375,146.625,144.859375,146.625,17600
2000-06-13,92.1415023803711,146.75,147.25,144.5,145.0,40300
2000-06-14,92.71054077148438,147.65625,148.375,147.125,147.75,353900
2000-06-15,92.71054077148438,147.65625,148.25,146.609375,147.6875,338500
2000-06-16,92.33773040771484,147.0625,148.625,146.46875,148.625,855900
2000-06-19,93.2501449584961,148.515625,149.03125,146.5,146.5625,160000
2000-06-20,92.73994445800781,147.703125,148.640625,147.296875,148.625,182600
2000-06-21,92.91290283203125,147.859375,148.15625,146.875,146.875,137500
2000-06-22,91.39102935791016,145.4375,147.4375,145.0,147.4375,182900
2000-06-23,90.73319244384766,144.390625,145.875,144.0,145.5,238200
2000-06-26,91.78379821777344,146.0625,146.0625,144.8125,145.03125,26000
2000-06-27,91.27323913574219,145.25,146.296875,145.25,145.8125,40900
2000-06-28,91.69542694091797,145.921875,146.90625,145.3125,145.3125,51200
2000-06-29,90.58589935302734,144.15625,145.25,143.5625,144.640625,48500
2000-06-30,91.42048645019531,145.484375,145.484375,143.984375,143.984375,16800
2000-07-03,92.46121978759766,147.140625,147.140625,145.46875,145.5,7100
2000-07-05,91.175048828125,145.09375,146.359375,144.625,146.265625,27400
2000-07-06,91.62667846679688,145.8125,146.125,144.21875,144.875,40100
2000-07-07,92.9816665649414,147.96875,148.5,146.375,146.375,65500
2000-07-10,92.82453918457031,147.71875,148.65625,147.65625,147.65625,77500
2000-07-11,93.17802429199219,148.28125,149.0,147.25,147.25,40700
2000-07-12,93.68862915039062,149.09375,149.9375,148.875,149.25,2642100
2000-07-13,94.00277709960938,149.59375,150.28125,149.140625,149.71875,971600
2000-07-14,94.8766098022461,150.984375,151.125,149.8125,150.25,158800
2000-07-17,94.8177261352539,150.890625,151.90625,150.59375,150.734375,430100
2000-07-18,94.14025115966797,149.8125,150.5,149.375,150.46875,763600
2000-07-19,93.25655364990234,148.40625,149.578125,148.40625,149.34375,120000
2000-07-20,94.52313232421875,150.421875,150.421875,148.765625,148.875,96500
2000-07-21,92.82453918457031,147.71875,149.4375,147.71875,149.40625,601300
2000-07-24,92.11763000488281,146.59375,148.59375,146.59375,148.25,251700
2000-07-25,92.63800048828125,147.421875,147.515625,146.8125,147.46875,116700
2000-07-26,91.7445068359375,146.0,146.890625,145.75,146.875,474800
2000-07-27,91.36161804199219,145.390625,146.5625,144.875,145.71875,94200
2000-07-28,89.36840057373047,142.21875,145.5,141.5,145.5,1147800
2000-07-31,89.820068359375,142.9375,143.953125,142.40625,142.9375,332900
2000-08-01,90.52700805664062,144.0625,144.390625,143.28125,143.28125,481700
2000-08-02,90.71358489990234,144.359375,145.328125,144.09375,144.65625,505900
2000-08-03,91.35174560546875,145.375,145.65625,142.9375,142.9375,173500
2000-08-04,91.9015884399414,146.25,146.421875,145.46875,146.03125,132900
2000-08-07,93.18785095214844,148.296875,148.296875,146.46875,146.640625,6500
2000-08-08,93.3646011352539,148.578125,148.6875,147.6875,147.84375,175400
2000-08-09,92.8834457397461,147.8125,149.09375,147.8125,149.09375,123100
2000-08-10,92.00962829589844,146.421875,147.609375,146.34375,147.53125,118000
2000-08-11,92.56927490234375,147.3125,147.578125,146.09375,146.53125,129400
2000-08-14,93.8947982788086,149.421875,149.421875,147.40625,147.5,70100
2000-08-15,93.6493148803711,149.03125,149.53125,148.609375,149.125,343600
2000-08-16,93.00132751464844,148.0,149.734375,147.953125,149.28125,155000
2000-08-17,94.20899963378906,149.921875,150.28125,148.5,148.53125,96900
2000-08-18,94.02242279052734,149.625,150.21875,149.3125,150.125,269000
2000-08-21,93.90459442138672,149.4375,150.515625,149.4375,150.15625,43000
2000-08-22,94.53298950195312,150.4375,151.09375,150.125,150.40625,380100
2000-08-23,94.7784194946289,150.828125,150.984375,149.34375,149.875,239100
2000-08-24,94.93553161621094,151.078125,151.421875,150.671875,150.71875,53100
2000-08-25,94.984619140625,151.15625,151.578125,151.0,151.296875,136000
2000-08-28,95.37736511230469,151.78125,152.734375,151.09375,151.09375,354000
2000-08-29,95.30867004394531,151.671875,151.75,151.25,151.4375,66900
2000-08-30,94.51332092285156,150.40625,151.125,150.40625,151.125,260100
2000-08-31,95.68177795410156,152.265625,153.046875,150.875,151.0,843400
